"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy"
"Armie Hammer, Annabelle Wallis,Tom Cullen, Clint Dyer"
"Sharlto Copley, Brie Larson, Armie Hammer, Cillian Murphy"
"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy"
"Tom Cruise, Cobie Smulders, Aldis Hodge, Robert Knepper"
"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright"
"Kristen Stewart, Robert Pattinson, Billy Burke,Sarah Clarke"
"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco"
"Helen Mirren, Ryan Reynolds, Daniel Brí_hl, Katie Holmes"
"John Krasinski, Pablo Schreiber, James Badge Dale,David Denman"
"Daniel Craig, Christoph Waltz, Lí©a Seydoux, Ralph Fiennes"
"Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed"
"Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes"
"Graham Skipper, Chase Williamson, Brea Grant,Barbara Crampton"
"Joaquin Phoenix, Amy Adams, Scarlett Johansson,Rooney Mara"
"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad"
"George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy"
"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee"
"Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn"
"Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor"
"Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly"
"Rení©e Zellweger, Gemma Jones, Jim Broadbent,Sally Phillips"
"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings"
"Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter"
"Tom Hughes, Charlotte Le Bon, Oona Chaplin, Barry Ward"
"Taraneh Alidoosti, Shahab Hosseini, Babak Karimi,Farid Sajjadi Hosseini"
"Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra"
"Joe Alwyn, Garrett Hedlund, Arturo Castro, Mason Lee"
"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam"
"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks"
"Amy Schumer, Bill Hader, Brie Larson, Colin Quinn"
"Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery"
"Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen"
"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber"
"Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare"
"Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison"
"Chris Evans, Hugo Weaving, Samuel L. Jackson,Hayley Atwell"
"Callan McAuliffe, Lorraine Nicholson, Daniel Eric Gold, Clifton Collins Jr."
"Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden"
"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech"
"Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan"
"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson"
"Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi"
"Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo,Zachary Quinto"
"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges"
"Shailene Woodley, Theo James, Jeff Daniels,Naomi Watts"
"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon"
"Garance Marillier, Ella Rumpf, Rabah Nait Oufella,Laurent Lucas"
"Adam Driver, Golshifteh Farahani, Nellie, Rizwan Manji"
"Kristen Wiig, Maya Rudolph, Rose Byrne, Terry Crews"
"Gemma Arterton, Glenn Close, Dominique Tipper,Paddy Considine"
"Dwayne Johnson, Carla Gugino, Alexandra Daddario,Colton Haynes"
"Vanessa Hudgens, Selena Gomez, Ashley Benson,Rachel Korine"
"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson"
"Josh Brolin, Elizabeth Olsen, Samuel L. Jackson, Sharlto Copley"
"Chris Hemsworth, Natalie Portman, Tom Hiddleston,Stellan Skarsgí«rd"
"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman"
"Chris Evans, Samuel L. Jackson,Scarlett Johansson, Robert Redford"
"Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper"
"Mark Huberman, Susan Loughnane, Steve Oram,Catherine Walker"
"Aaron Taylor-Johnson, Nicolas Cage, Chloí‚ Grace Moretz, Garrett M. Brown"
"Sharlto Copley, Tim Roth, Haley Bennett, Danila Kozlovsky"
"Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy"
"Maika Monroe, Keir Gilchrist, Olivia Luccardi,Lili Sepe"
"Daniel Craig, Rooney Mara, Christopher Plummer,Stellan Skarsgí«rd"
"Jason Sudeikis, Jennifer Aniston, Emma Roberts, Ed Helms"
"Sasha Lane, Shia LaBeouf, Riley Keough, McCaul Lombardi"
"Colin Farrell, Rachel Weisz, Jessica Barden,Olivia Colman"
"Adrien Brody, Laurence Fishburne, Topher Grace,Alice Braga"
"Angelina Jolie, Elle Fanning, Sharlto Copley,Lesley Manville"
"Noomi Rapace, Michael Chiklis, Kerry Bishí©,Peter Stormare"
"Ivana Baquero, Ariadna Gil, Sergi Lí_pez,Maribel Verdí_"
"Patrick Wilson, Jessica Biel, Haley Bennett, Vincent Kartheiser"
"Gerardo Taracena, Raoul Max Trujillo, Dalia Herníçndez,Rudy Youngblood"
"Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg"
"Chris Hemsworth, Jessica Chastain, Charlize Theron, Emily Blunt"
"Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd"
"Natalie Portman, Peter Sarsgaard, Greta Gerwig,Billy Crudup"
"Kate Beckinsale, Mel Raido, Duncan Joiner, Lucas Till"
"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric,Adrien Brody"
"Saoirse Ronan, Max Irons, Jake Abel, Diane Kruger"
"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peí±a"
"Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling"
"Luke Wilson, Eddie Izzard, J.K. Simmons, Lewis Black"
"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke,Jai Courtney"
"Logan Lerman, Kevin McKidd, Steve Coogan,Brandon T. Jackson"
"Hugh Jackman, Russell Crowe, Anne Hathaway,Amanda Seyfried"
"Julianne Moore, Clive Owen, Chiwetel Ejiofor,Michael Caine"
"Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup"
"Melissa McCarthy, Rose Byrne, Jude Law, Jason Statham"
"Franí_ois Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot"
"Diane Lane, Alec Baldwin, Arnaud Viard, Linda Gegusch"
"Christos Stergioglou, Michele Valley, Angeliki Papoulia, Hristos Passalis"
"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell,Neil Brown Jr."
"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti"
"Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor"
"Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms"
"Alexander Skarsgí«rd, Brooklyn Decker, Liam Neeson,Rihanna"
"James Franco, Andy Serkis, Freida Pinto, Karin Konoval"
"Teresa Palmer, Gabriel Bateman, Maria Bello,Billy Burke"
"Richard Gere, Lior Ashkenazi, Michael Sheen,Charlotte Gainsbourg"
"Michael Keaton, Zach Galifianakis,Edward Norton, Andrea Riseborough"
"Natalie Portman, Mila Kunis, Vincent Cassel,Winona Ryder"
"Tyler James Williams, Tessa Thompson, Kyle Gallner,Teyonah Parris"
"Charlotte Gainsbourg, Stellan Skarsgí«rd, Stacy Martin, Shia LaBeouf"
"Megan Fox, Will Arnett, Tyler Perry, Laura Linney"
"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns"
"Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza"
"Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving"
"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston"
"Sarah Hyland, Steven Krueger, Justin Chon, Clara Mamet"
"Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench"
"Martin Freeman, Ian McKellen, Richard Armitage,Andy Serkis"
"Jonah Hill, Channing Tatum, Ice Cube,Brie Larson"
"Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy, Jack Reynor"
"Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler"
"Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko"
"Channing Tatum, Jonah Hill, Ice Cube,Nick Offerman"
"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,Anthony Edwards"
"Blake Jenner, Tyler Hoechlin, Ryan Guzman,Zoey Deutch"
"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow,Don Cheadle"
"Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson"
"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong"
"Kurt Russell, Zoí‚ Bell, Rosario Dawson, Vanessa Ferlito"
"Eddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw"
"Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes"
"Emily Browning, Vanessa Hudgens, Abbie Cornish,Jena Malone"
"Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot"
"Channing Tatum, Mila Kunis,Eddie Redmayne, Sean Bean"
"Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball"
"Romain Duris, Charlotte Le Bon, Jalil Lespert, Camille Cottin"
"Yoo Gong, Soo-an Kim, Yu-mi Jung, Dong-seok Ma"
"Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp"
"Seth Rogen, Rose Byrne, Zac Efron, Chloí‚ Grace Moretz"
"Lily James, Jai Courtney, Christopher Plummer, Loí¿s van Wijk"
"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane"
"Benjamin Walker, Teresa Palmer, Alexandra Daddario,Maggie Grace"
"Ray Romano, Denis Leary, John Leguizamo, Chris Wedge"
"Anne Hathaway, Meryl Streep, Adrian Grenier, Emily Blunt"
"Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan"
"Daniel Day-Lewis, Paul Dano, Ciaríçn Hinds,Martin Stringer"
"Denzel Washington, Marton Csokas, Chloí‚ Grace Moretz, David Harbour"
"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster"
"Kristen Connolly, Chris Hemsworth, Anna Hutchison,Fran Kranz"
"Anna Faris, Colin Hanks, Emma Stone, Kat Dennings"
"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel"
"Joaquin Phoenix, Josh Brolin, Owen Wilson,Katherine Waterston"
"Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway"
"Emile Hirsch, Zoí‚ Kravitz, Zoey Deutch,Emory Cohen"
"Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette"
"Dakota Johnson, Rebel Wilson, Leslie Mann, Alison Brie"
"Quinton Aaron, Sandra Bullock, Tim McGraw,Jae Head"
"Lí©a Seydoux, AdíÂle Exarchopoulos, Salim Kechiouche, Aurí©lien Recoing"
"Essie Davis, Noah Wiseman, Daniel Henshall, Hayley McElhinney"
"Ian McKellen, Martin Freeman, Richard Armitage,Cate Blanchett"
"Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson"
"Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris"
"Chloí‚ Grace Moretz, Matthew Zuk, Gabriela Lopez,Bailey Anne Borders"
"Connor Paolo, Nick Damici, Laura Abramsen, A.C. Peterson"
"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie"
"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster"
"Channing Tatum, Jenna Dewan Tatum, Damaine Radcliff, De'Shawn Washington"
"Riley Keough, Jena Malone, Jessie Ok Gray, Cary Joji Fukunaga"
"Gerard Butler, Tom Wilkinson, Idris Elba, Thandie Newton"
"Justin Timberlake, Amanda Seyfried, Cillian Murphy,Olivia Wilde"
"Jesse Eisenberg, Andrew Garfield, Justin Timberlake,Rooney Mara"
"Vin Diesel, Rose Leslie, Elijah Wood, íñlafur Darri íñlafsson"
"Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott"
"Luke Treadaway, Bob the Cat, Ruta Gedmintas, Joanne Froggatt"
"Anton Yelchin, Imogen Poots, Alia Shawkat,Patrick Stewart"
"Chris Hemsworth, Viola Davis, Wei Tang, Leehom Wang"
"Andy Samberg, Katie Crown,Kelsey Grammer, Jennifer Aniston"
"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis"
"Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn"
"Daniel Day-Lewis, Sally Field, David Strathairn,Joseph Gordon-Levitt"
"Daniel Brí_hl, Chris Hemsworth, Olivia Wilde,Alexandra Maria Lara"
"Kate Bosworth, Thomas Jane, Jacob Tremblay,Annabeth Gish"
"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver"
"Alexi Pappas, Chase Offerle, Rachel Dratch, Andy Buckley"
"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern"
"Adam Sandler, Drew Barrymore, Wendi McLendon-Covey, Kevin Nealon"
"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster"
"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano"
"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal,Jason Clarke"
"Bryce Dallas Howard, Robert Redford, Oakes Fegley,Oona Laurence"
"Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church"
"Logan Lerman, Matthew Macfadyen, Ray Stevenson, Milla Jovovich"
"Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen"
"Christian Bale, Amy Adams, Bradley Cooper,Jennifer Lawrence"
"Megan Fox, Amanda Seyfried, Adam Brody, Johnny Simmons"
"Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller"
"Florence Pugh, Christopher Fairbank, Cosmo Jarvis, Naomi Ackie"
"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramí_rez"
"Kate Winslet, Judy Davis, Liam Hemsworth,Hugo Weaving"
"Jesse Eisenberg, Kristen Stewart, Steve Carell, Blake Lively"
"Shailene Woodley, Ansel Elgort, Theo James,Kate Winslet"
"Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander"
"Omar Sy, Clí©mence Poí©sy, Antoine Bertrand, Ashley Walters"
"Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry"
"James Franco, Jonah Hill, Seth Rogen,Jay Baruchel"
"Domhnall Gleeson, Rachel McAdams, Bill Nighy,Lydia Wilson"
"Will Ferrell, John C. Reilly, Mary Steenburgen,Richard Jenkins"
"Andy Powers, Laura Allen, Peter Stormare, Christian Distefano"
"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch"
"Jesse Eisenberg, Emma Stone, Woody Harrelson,Abigail Breslin"
"Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes"
"Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor"
"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli"
"William Fichtner, Jon Voight, Lia Marie Johnson,Gabriel Basso"
"Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan"
"Jack Huston, Toby Kebbell, Rodrigo Santoro,Nazanin Boniadi"
"Jacob Latimore, Seychelle Gabriel, Dulí© Hill, Storm Reid"
"Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster"
"Kevin Costner, Ryan Reynolds, Gal Gadot, Gary Oldman"
"Angelina Jolie, James McAvoy, Morgan Freeman, Terence Stamp"
